# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
aloq	bademcik
aloz	bozuk
aloz	karışık
aloz	karmaşık
aloz	yoz
alozî	kaos
alozî	karışıklık
altaxî	ihbar
altaxî	ispiyon
altaxî kirin	ihbar etmek
altaxîkirin	ihbar etmek
altaxîname	ihbarname
alternatîf	alternatif
alû bûn	kamaşmak
alûbûn	kamaşmak
alûçe	can eriği
alûçe	erik
alûde	pisliğe bulaşan
alûle	dar sokak
alûle	koridor
alûs	sahte davranışlı
alûs	sahte kibarlık
alûs	samimiyetsiz
alûs	yapmacık
amade	amade
amade	amede
amade	hazır
amade be	hazır ol!
amade kirin	hazırlamak
amadebûn	amede etmek
amadebûn	hazırlamak
amadekirin	amede olmak
amadekirin	hazırlamak
amadexwer	hazır yiyici
amadeyî	hazırlık
amajekirin	belirtmek
amajekirin	sözetmek
aman	kap
aman	kap-kacak
amas	iltihab
amas	şişme
ambargo	ambargo
ambûlans	ambulans
ambûlans	cankurtaran
ambûr	enstrüman
ambûr	tesisat
ambûrîn	alet
ambûrîn	malzeme
ambûrsaz	tesisatçı
Amed	Diyarbakır
Amêdî	Irak’ta bir Kürt kenti
amêjen	alaşım
amêjen	terkip
Amêrîka	Amerika
Amêrîkayî	Amerikalı
amir	amir
amîral	amiral
amoj	amca karısı
amojin	amca hanımı ( karısı )
amojin	amca karısı
amojkar	eğitimci
amojkar	pedagog
amojkarî	pedagoji
amper	amper
ampûl	ampul
amraz	araç
Amsterdam	Amsterdam
Amûda	Suriye’de bir Kürt kenti
amûr	araç
amûr	enstrüman
amûr	tesisat
amûrîn	alet
amûrîn	malzeme
amûrsaz	tesisatçı
an	çoğul edatı
an	çoğul eki
an	veya (hut)
an	ya
an	yahut
an	yoksa
an jî	ya da
an na	yoksa
ananas	ananas
anarşî	anarşi
Anatoliya	Anadolu
anatomî	anatomi
andêr	soyka
angaje kirin	angaje etmek
angajman	angajman
angaşt	iddia
ango	başka bir deyişle
ango	demek ki
ango	veyahut
ango	yani
anix	anason
anîn	getirmek
anîn ba hev	bir araya getirmek
anîn ber hev	bir araya getirmek
anîn bîr	anımsatmak
anîn bîr	çağrıştırmak
anîn cem hev	yan yana getirmek
anîn pêş	ileri almak
anîn ser çokan	diz çöktürmek
anîn ziman	dile getirmek
anînbîr	anımsatmak
anînbîr	çağrıştırmak
anîs	anason
anjî	yada
anket	anket
anormal	anormal
ansîklopedî	ansiklopedi
Antartîka	Antarktika
antên	anten
antîlop	antilop
antrenman	antrenman
antrenor	antrenör
aort	aort
ap	amca
apandîsîd	apandisit
apandîsît	apandist
apore	şok veya paniğe kapılmış
aqar	alan
aqar	arazi
aqar	yüz ölçümü
aqar	yüzölçümü
aqil	akıl
aqil	us
aqilmend	akıllı
aqilmend	bilge
aqilmend	zeki
aqlî	rasyonel
ar	ar
ar	ateş
ar	haya
aram	dingin
aram	gönenç
aram	huzur
aram	huzurlu
aram	istikrar
aram	sabır
aram	sakin
aram	sükunet
aram bûn	huzur bulmak
aram bûn	sakinleşmek
arambexş	huzur veren
arambexş	huzurveren
arambûn	huzur bulmak
arambûn	sakinleşmek
aramdar	dinlendirici
aramdar	huzur verici
aramdar	huzurverici
aramdar	müsekkin
aramdar	sakinleştirici
aramgah	istirahat yeri
aramgah	kabir
aramgeh	istirahat yeri
aramgeh	kabir
aramî	huzur
aramî	istikrar
aramxane	huzurevi
aran	elem
aran	sancılanmak
araq	rakı
ararot	mama
arask	donatı
arask	teçhizat
arastek	donanım
arastek	ziynet
arastekar	dekoratör
arastekirin	yöneltmek
arastin	bezemek
arastin	donatım
arastin	donatmak
arastin	teçhiz etmek
arastî	bezenmiş
arastî	donatılmış
arastî	teçhiz edilmiş
arav	bulaşık suyu
aravî	nargile
ard	un
ardelîn	un oluğu
ardik	irmik
ardû	katı yakıt
arena	arena
argon	ateş rengi
argûn	ocak
argûr	meşale
argûşk	bademcik
arihandin	acıtmak
arihandin	ağrıtmak
arihîn	acımak
arihîn	ağrımak
arimîn	dinlenmek
aring	koyun ve keçilerin genel adı
arizî kirin	özelleştirme
arizîkirin	özelleştirme
arizîkirin	özelleştirmek
arî	Hint-Avrupa \'lı
arî	Hint-Avrupa’lı
arî	kül
arî	yardım
arîk	tavan
arîkar	asistan
arîkar	yardımcı
arîkarî	yardım
arîkarî kirin	yardım etmek
arîkarî xwestin	yardım istemek
arîkarîkirin	yardım etmek
arîkarîxwaz	yardımsever
arîle	kadın gibi (görünüşlü) erkek
arîle	kadın görünüşlü erkek
arîperwer	yardımsever
arîşe	problem
arîşe	sorun
arîşen	manevi
arîşen	maneviyat
arîşen	moral
arîşetî	şantaj
arîtmetîk	aritmetik
arîxen	emin
arîxen bûn	emin olmak
arîxenbûn	emin olmak
arkolk	maşa
arkork	fırın küreği
armanc	amaç
