# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
çemçûr	bağ böceği
çemçûr	yaprak biti
çemçûs	cimri
çemçûs	pinti
çemîhanî	dutluk
çemîn	bükülmek
çemîn	eğilme
çempal	büyük yük üzerine konan küçük yük
çempal	ek yük
çen	çene
çenberî	binek arabası
çenbil	kulp
çençûz	cimri
çend	birkaç
çend	birkaç. \"çend zarok.\" birkaç çocuk
çend	kaç
çend roj berê	bir kaç gün önce
çendaniyî	nicel
çendanî	nicelik
çendek	birkaç
çendekek berê	bir süre önce
çendemî	uzun süreli olmayan
çendînî	nicelik
çenebaz	geveze
çenebazî	gevezelik
çeng	arp
çeng	avuç
çeng	harp
çeng	kulaç
çeng kirin	avuçlamak
çengal	çengel
çengal	kanca
çengal kirin	çengellemek
çengî	dansöz
çengî	rakkase
çente	çanta
çente dest	el çantası
çente pelikan	evrak çantası
çentik	çentik
çentik	el çantası
çep	sol
çep	solak
Çepaxçûr	Bingöl
çepek	sapa
çepel	kirli
çepel	pis
çepel	pislikten kendini sakınmayan kimse
çeper	çeper
çeper	mevzi
çeper	siper
çepgir	solcu
çepik	alkış
çepik hatin lêdan	alkışlanmak
çepik lêdan	alkışlamak
çepiklêdan	alkışlamak
çepil	dirsek ile omuz arası kısmı
çepil	kol
çepil	kolun dirsekle omuz arasındaki bölüm
çepok	solak
çeprast	çapraşık
çeprast	çapraz
çeprastî	çapraşıklık
çeprastî	çaprazlama
çeq	bileşke
çeqçeqok	değirmen taşının ayar çubuğu
çeqçeqok	mantar tabancası
çeqel	çakal
çeqene	sedir ağacına benzer bir ağaç
çeqilandin	ayıklamak
çeqilîn	ayıklanmak
çeqîn	çatırdama
çeqîn	çatlama sesi
çeqîn	patlama
çeqmeq	çakmak
çeqûber	yarı otomatik
çerçî	çerçi
çerçî	kentlerden eşya alıp köylerde satan kimse
çerez	çerez
çerez	lezzetli yemekler
çerixîn	kendi ekseni etrafında dönmek
Çerkez	Çerkez
Çerkezî	Çerkezce
çerm	cilt
çerm	deri
çermesor	kızılderili
çermik	zar
çermsor	Kızılderili
çerx	burç
çerx	çark
çerx	dönence
çerx	döngü
çerx	kalem tıraşı
çerxa bêsûd	kısır döngü
çerxa bêweç	kısır döngü
çerxe	tekerlek
çerxefelek	dönme dolap
çerxetûn	tava
çerxî	beş kuruş
çerxwan	çarkçı
çesp	rabt
çespandin	ispat etmek
çespandin	raptetmek
çespandin	saptamak
çespik	raptiye
çespîn	rapt olunmak
çeşnet	çeşit
çeşte	çeşit
çetare	ipekli elbise
çete	çete
çeteger	çeteci
çetel	çatal
çetel bûn	çatallanmak
çetevan	çeteci
çetin	çetin
çetir	daha iyi
çetir	paraşüt
çetir	tercih edilir
çetirbaz	paraşütçü
çetrefîl	çetrefil
çewal	çuval
çewder	çavdar
çewênder	şeker pancarı
çewlîg	ırmak dirseklerindeki alüvyonlu toprak
çews	baskı
çewsan	baskı
çewsandin	baskı yapmak
çewsandin	ezmek
çewsandin	kasmak
çewsandin	sıkıştırmak
çewsandin	sıkmak
çewsandin	sindirmek
çewsax	körlere kılavuzluk yapan kişi
çewsîner	baskıcı
çewsîner	zorba
çewt	çarpık
çewt	yanlış
çewtî	yanılgı
çewtî	yanlışlık
çexer	ayak
çexer	yolda herhangi bir şeyin bıraktığı iz
çê	iyi
çê bûn	düzelmek
çê bûn	meydana gelmek
çê bûn	olmak
çê bûn	oluşmak
çê bûn	vücut bulmak
çê kirin	iyileştirmek
çê kirin	yapmak
çêbuwar	suni
çêbuwar	yapay
çêbûn	düzelmek
çêbûn	olmak
çêbûn	oluşmak
çêbûnî	oluş
çêj	lezzet
çêj	tat
çêj	zevk
çêj jê derxistin	tadını çıkarmak
çêj kirin	çeşni
çêj kirin	tadına bakmak
çêj kirin	tatmak
çêjandin	tatmak
çêjdar	leziz
çêjdar	lezzetli
çêjî	tat
çêjtin	çeşni
çêjtin	tadına bakmak
çêjtin	tatmak
çêker	tamirci
çêker	yapıcı
çêkirin	imal etmek
çêkirin	imalat
çêkirin	iyileştirmek
çêkirin	oluşturmak
çêkirin	onarmak
çêkirin	tamir etmek
çêkirin	yapmak
çêkirî	suni
çêkirî	yapılmış durumda olan
çêkirî	yapay
çêkirnoka zanistî	bilim kurgu
çêkirvan	imalâtçı
çêl	kaya
çêlek	inek
çêlik	civciv
çêlik	yavru
çêlik anîn	yavrulamak
çêlî	nesil
çêlî	yavru
çêlkirin	bahsetmek
çêlkirin	sözetmek
çênî	dilim
çênî	küçük et parçası
çênî	kuş yemi
çêr	küfür
çêr	sövgü
çêr kirin	küfretmek
çêr kirin	sövmek
çêrandin	otlatmak
çêrbaz	küfürbaz
çêre	ot
çêre	otlak
çêregeh	mera
çêregeh	otlak
çêreger	otlayan
çêrek	küfürbaz
çêrî hev kirin	sövüşmek
çêrîn	otlamak
çêrîn	otlanmak
çêrlêkirin	küfüretmek
çêrlêkirin	sövmek
çêrt	kuş dışkısı
çêtir	daha iyi
çêtir	ehven
çêtir dîtin	tercih etmek
çêtir dîtin	yeğlemek
çêtir girtin	tercih etmek
çêtir girtin	yeğlemek
çêtir kirin	daha iyi hale getirmek
çêtîkirin	parçalamak
çêyî	iyilik
çi	ne?
çi	ne. \"Çi bû?\" Ne oldu?
çi demî	ne zaman
çi heye ku	ne var ki
çi li me qewimîn	ne oldu bize
çi rind	ne güzel
çiçik	insan memesi
çift	çift
çiftexas	patiska
çik	dik
çik	köşe
çikal	çok zayıf hayvan
çikandin	ağaç
çikandin	direk vb. dikmek
çikandin	kurutmak
çikandin	suyu kesmek veya kurutmak
çikandin	suyun kurutulması ya da nefesin tüketilmesi
çikandin	suyunu kesmek
çikilî	dikili
çikilî	saplanmış
çikiyan	çeşmenin veya kuyunun suyunun kuruması nefesin kesilmesi
çiklandin	dikmek
çikot	cimri
çikrim	yere çakılan ya da dikilen ve dik duran herhangi bir şey
çiksayî	açıkmavi gök
çiksayî	bulutsuz
çil	kırk
çilag	tekstil
çilag	tekstilci
çilagî	tekstilcilik
çilanger	çilingir
çile	kış ve yazın en sert kırk günü
çilek	obur
çilek	pisboğaz
çilemîn	kırkıncı
çilfis	aşıran
çilfis	çırpan
çilfisandin	aşırmak
çilfisandin	yürütmek
çilizîn	eşya veya yiyecek dilenmek
çilizîn	otlanmak
çilîçilî	yarasa
çilk	damla
çilkav	su damlası
çilkîn	damlamak
çilm	sümük
çilmêre	sürgü
çilmêre kirin	sürgülemek
çilmisandin	pörsütmek
çilmisandin	soldurmak
çilmisî	solgun
çilmisî	soluk
çilmisîn	pörsümek
çilmisîn	solmak
çilmîsî	solgun
çilmîsîn	pörsümek
çilmîsîn	solmak
çilmo	sümüklü
çilo	nasıl?
çilo	yaprakları dökülmeden kesilen ağaç dalları
çilo	yaprakları dökülmeden kesilen ve daha sonra kurutulan ağaç yaprakları veya dalları
çiltûg	çeltik
çiltûg	kabuğundan soyulmamış pirinç
çilûr	sarkıt
çilvir	çılbır (yemek)
çima	neden
çima	neden?
çima	niçin
çima	niçin?
çima	niye
çiman	bir şeyin bir parçasının kesilmesi anlamında fiil
çimçîr	çocuk salıncağı
çimkî	çünkü
çin	sınıf
çinar	çınar
çinçînîbûn	sınıflaşma
çindik avêtin	çimdiklemek
çing kirin	fırlatmak
çingdan	fırlamak
çingîn	çınlamak
çingîn	şıngırdamak
çingul	bakraç
çingulîn	çökmek
çinîn	biçmek
çinîn	nakşetmek
çipborî	tüp
çipilandin	dal ve yapraklarını kesmek
çipizk	fiske
çipîsk	fiske
çiq	ağaç dalının uçlarındaki budak
çiqas	ne kadar
çiqas	ne kadar?
çiqil	dal
çiqinî	kabız
çiqinîbûn	kabız olmak
çir	yumuşak ve esnek şeyler
çira	çıra
çira	fanus
çira	fener
çira	lamba
çirandin	hallaçlamak
çirandin	mecazi anlamda palavra atmak
çirandin	yırtmak
çirax	çırak
çirb	yağlı yemekler
çirçîrok	masal
çirg	toprağı az olan taşlı arazi
çirik	çıkrık
çirikandin	hallaçlamak
çirikvan	hallaç
çirisîn	parıldamak
Çirî	Ekim-Kasım ayları
Çirî	ölüm haberi
çirîn	yırtılmak
çirîş	tutkal
çirîşî	tutkallı
çirîşî kirin	tutkallamak
Çirîya Paşîn	Kasım ayı
Çirîya Pêşîn	Ekim ayı
çirk	saniye
çirkîn	çirkin
çirp kirin	kırpmak
çirpî	yere dikilerek üzerine üzüm asmasının dallarının bırakıldığı çubuk
çirpîn	çırpmak
çirto virto	abuk sabuk
çirûsîn	parıldamak
çirûsîn	parlamak
çirûsk	kıvılcım
çirûsk	parıltı
çirvan	hallaç
çirxatkirin	değirmeni durdurmak
çişt	element
çiv	dolambaç
çiv	zikzak
çivan	kıvırmak
çivan	kaytarmak
çivanek	dolambaçlı
çivanek	viraj
çivdan	sıvışmak
çivgeh	dönemeç
çivîk	kuş
çivîk	serçe
çivok	dönek
çiya	dağ
çiyakêş	dağcı
çiyarêz	sıradağlar
Çiyayê Agirî	Ağrı Dağı
çiyayê agirîn	yanardağ
çiyayê Sîpanê	Süphan Dağı
çizirîn	sızmak
çîç	arı peteğinin her gözü
çîçek	çiçek
çîçekdank	çiçeklik
çîçî	iffet
çîçî	namus
çîk	kıvılcım
çîk	pırıltı
çîk	şey
çîk	yani anlamında sözcük
çîkolate	çikolata
çîl	çil
çîlan	elbisenin uzun kolu
çîlan	yen
çîle	çile
çîle	sıkıntı
çîle	yumak
çîle parêz	çilekeşçi
çîle parêzî	çilekeşçilik
çîleçep	dağlardaki zikzaklı ve dolambaçlı yol
çîleçep	zikzaklı dağ yolu
çîlekêş	çilekeş
çîlekêşî	acıcılık
çîlekêşî	çilekeşlik
çîm	bacağın diz kapağından topuğa kadarki bölümü
çîm	bacak
çîm	çim
çîmen	çimen
çîmento	çimento
çîmenzar	çimenlik
çîn	Çin
çîn	desen
çîn	işleme
çîn	nakış
çîn	oya
çîn	sınıf
çîn	tabaka
çînayetî	sınıfsal
çînik	kadınların alınlarına sarkıttıkları saçlar
çînik	perçem
Çînî	Çinli
çînîn	nakşetmek
çînko	çinko
çîp	baldır
çîp	incik
çîplaq	çıplak
çîprût	baldırı çıplak
çîqal	cılız
çîqal	zayıf
çîqal	zayıf ve cılız hayvan
çîr	erik
çîr	kayısı
çîr	zerdali kurusu
çîrik	meyvaların kurutulmuşu
çîrok	hikâye
çîrok	masal
çîrok	öykü
çîrokbêj	masalcı
çîrokbêj	öykücü
çîroknivîs	hikaye yazarı
çîroknivîs	öykü yazarı
çîrokvan	öykücü
çît	bir yaşını doldurmamış horoz
çît	bir yazma türü
çît	çit
çît	kalıp basılarak renklendirilen yazmalar
çîtik	kamış
çîtik	kura
çîtik	saz
çîtik kişandin	kura çekmek
çîtog	sıkıcı
çîz	at sineği
çîzok	mızmız
ço	çubuk
ço	değnek
ço	deynek
çoç	bağdaş
çoç bûn	bağdaş kurmak
çoçik	kepçe
çogan	asa
çogan	baston
çogan	çelik çomak oyunu
çogan	deynek
çok	diz
çokdan	çökmek
çokdan	çömelmek
çokdanîn	çökmek
çokdanîn	çömelmek
çokşkestin	takati kırılmak
çolax	çolak
çolbir	kestirme yol
çolik	çökelek
çolik	hela
çolistan	çöl
çolistan	kır
çolistan	sahra
çolter	kir
çong	diz
çop	gasp
çopandin	gasp etmek
çopî	gasp
çopîk	ahmak
çoqil	ayak
çor	sülün
çorek	çörek
çors	kaba sapa
çors	patavatsız
çortan	çökeleğin kurutulmuşu
çortan	kurutulmuş çökelek
çov	çubuk
çov	değnek
çov	deynek
çovik	çubuk
çovik	değnek
çowar	trafik
çudarî	menzil
çuxtî	sokak serserisi
çuxur	çığır
çûçik	küçük kuş
çûk	bıldırcın vb. kuşlar
çûk	kuş
çûk	serçe
çûkreş	karakuş
çûle	halkı güldüren
çûle	komedyen
çûle	mizahçı
çûn	gidiş
çûn	gitmek
çûn	varış
çûn ava	batmak (güneş ve ay için)
çûn geştê	seyahate çıkmak
çûn pêrgînê	karşılamaya gitmek
çûn pêşewaziyê	karşılamak
çûn ser heqiya xwe	vefat etmek
çûnbar	taşıt
çûr	açık sarı
çûr	bir keçi türü
çûr	kumral
çûx	çuha
çûyî	giden
çûyî	gitmiş olan
çûyîn	gidiş
çûyîn	gitmek
çûyîn	varış
d	Kürt alfabesinin beşinci harfi
da	-da
da	-dan
da	anne
da	da
da	dan anlamını verir
da	dan fiilinin dili geçmiş zamanı
da	de
da	de
da	den
da	den
da	indirici anlamını katar
da	indirici anlamını verir
da	önek olarak kelimeye alçaltıcı
da	sıfat eki olarak
dab	tuzak
dabarîn	yağdırmak yaylım ateşine tutmak
dabaş	araştırma
dabaş	bahis
dabaş	bahs
dabaş	konu
dabelandin	yutturma
daberizîn	çatmak
daberizîn	saldırmak
daberizîn	taaruz etmek
dabestin	bağlamak
dabestin	sona erdirmek
dabeş	kısım
dabeş	parça
dabeş kirin	bölmek
dabeş kirin	pay etmek
dabeş kirin	taksim etmek
dabeşandin	bölmek
dabeşîn	bölünmek
dabeşker	bölücü
dabeşkerî	bölücülük
dabeşkirin	bölmek
dabeşkirin	taksim etmek
dabêlandin	yutmak
dabir	apostrof
dabiristin	dizi haline gelmek
dabiristin	safa girmek
dabînkirin	garanti etmek
dabînkirin	gidermek
dabînkirin	güvenceye almak
daçek	dilbilgisinde edat
daçek	edat
daçek	ilgeç
daçekî	deyim edatlar
daçikandin	ağaç
daçikandin	bayrak vb. dikmek
dad	adalet
dad	hukuk
dada bazirganiyê	ticaret hukuku
dada gişkî	kamu hukuku
dada malbatiyê	aile hukuku
dada Romayê	Roma Hukuku
dada xwezayî	doğal hukuk
dadan	kapamak
dadan	kapatmak
dadan	kapmak
dadan	örtmek
dadgeh	mahkeme
dadgeha Bilind	Yüksek Mahkeme. Temyiz Mahkemesi
dadgeha cezayê	ceza mahkemesi
dadgeha dageriyê	Sayıştay
dadgeha lihevanînê	sulh mahkemesi
dadgeha sezayî	ceza mahkemesi
dadger	hakim
dadibarand	yağdırmak yaylım ateşine tutmak
dadibarîne	yağdırmak yaylım ateşine tutmak
dadiberizand	saldırmak
dadiberizand	taaruz etmek
dadiberize	saldırmak
dadiberize	taaruz etmek
dadibeşe	kısım
dadibeşe	parça
dadibeşîne	kısım
dadibeşîne	parça
dadik	dadı
dadik	mürebbiye
dadipale	damıtılmak
dadipale	süzülmek
dadkirin	yargılamak
dadmend	adaletli
dadmend	meşru
dadmendî	adalet
dadmendî	adli
dadmendî	hukukî
dadparêz	hukukçu
dadrês	hakim
dadrês	yargıç
dadrêsa jêpirsinê	sorgu hakimi
dadrêsî	muhakeme
dadrêsî	yargı
dadrêsî	yargıçlık
dadwer	adaletli
dadwer	adil
dadwerane	adilane
dadwerxane	adliye
dadyane	adil
dager	denetçi
dager	müfettiş
dager	yokuş aşağı iniş
dager kirin	denetleme
dager kirin	teftiş etme
dagerandin	birşeyi aşağı doğru çevirtmek veya indirtmek
dagerî	denetçilik
dagerî	müfettişlik
dagerîn	aşağıya doğru inmek
dagir kirin	istila etmek
dagir kirin	işgal etmek
dagirker	işgalci
dagirkirin	işgal etmek
dagirtin	doldurmak
dagirtin	istila etmek
dagirtî	dolu
dagirtî	istila edilmiş
dahatin	iniş
dahatin	inmek
dahatin	yağmak
dahatû	gelecek
dahatû	müstakbel
dahelîn	sarkmak
dahelînandin	sarkıtmak
dahênan	icat
dahênan	icat etmek
dahênan	yaratmak
dahêner	icatçı
dahêner	mucit
dahêner	yaratıcı
dahiştin	mütalaa etmek
dahiştin	üzerinde düşünmek
dahî	dâhi
dahol	davul
dahol lêdan	davul çalmak
daholjen	davulcu
dahûrandin	analiz etmek
dahûrandin	çözümlemek
dahûrîn	analiz
dahûrîn	analiz etmek
dahûrîn	çözümleme
dahûrîn	tahlil etmek
dak	tuzak
dak danîn	tuzak kurmak
daketin	aşağı inmek
daketin	iniş
daketin	inmek
daketinî	inik
dakêşan	çekmek
dalak	sünnetçi
dalan	dehliz
daleqandin	asmak
daleqandî	asılı
daleqandî	asılmış
daliqandin	asmak
dalît	kütük
damalîn	süpürülmek
daman	etek
damarî	üvey anne
dame	dama
damezrak	yapı
damezrandin	kurmak
damezrandin	tesis etmek
damezrandin	vücuda getirmek
damezrandin	yaratmak
damezranêr	kurucu
damezranêr	müessis
damezrek	kurum
damezrîner	kurucu
damilandin	gözlerini yummak
damilîn	gözlerin yumulması
damilîn	yumulmak (göz için)
damûsk	yele
dan	dövme buğday
dan	dövülmüş buğday
dan	günün öğünleri
dan	günün üçte biri
dan	ödemek
dan	öğün
dan	vardiya
dan	vermek
dan bawer kirin	inandırmak
dan ber çav	göz önüne getirmek
dan ber çav	göz önüne sermek
dan ber hey	kıyas
dan ber hey	karşılaştırma
dan ber hey	mukayese etmek
dan ber hey	tasım
dan bêrî kirin	özletmek
dan bihîstin	duyurmak
dan birîn	kestirmek
dan cihê kirin	ayırtmak
dan çap kirin	bastırmak
dan dadgehê	mahkemeye vermek
dan demanê	kiraya vermek
dan der	dışa vurmak
dan derbaz kirin	geçirtmek
dan girî kirin	ağlatmak
dan gotin	söyletmek
dan guhêrbar	değiştirtmek
dan hev	biriktirmek
dan hev	toplamak
dan hilavêtîn	atlatmak
dan hûr kirin	bozdurtmak
dan hûr kirin	ufaltmak
dan kirin	yaptırmak
dan leke kirin	lekeletmek
dan lîstikin	oynatmak
dan mêr	kocaya vermek
dan nivîsîn	dikte ettirmek
dan pey	kovalamak
dan pîs kirin	pisletmek
dan ser hev	toparlamak
dan ser hev	üst üste koymak
dan standin	aldırmak
dan veqet	ayırtmak
dan vexwarin	içirmek
dan xwarin	yedirmek
dan xwendinê	okutmak
dan xwendinê	tahsile vermek
danasîn	tanıtım
danasîn	tanıtmak
danasînname	tanıtma belgesi
dane	veri
dane berhev	karşılaştırmak
dane berhev	mukayese etmek
dane pey	takip etmek
daneberizîn	saldırmazlık
danezan	beyanname
danezan	bildirge
danezan	bildiri
danezan	duyuru
danezan	ilan
danezan	tebliğ
danezan	tebligat
dang	bir hissenin altıda biri
dange	kışın hayvanlara yem verilen yer
dangî	dışarıda hayvanlara yem verilen yer
danisqe	müstesna (insan için)
daniştin	celse
daniştin	duruşma
daniştin	ikamet etmek
daniştin	oturmak
daniştin	oturum
daniştin	yerleşmek
danîn	indirmek
danîn	koymak
danîn	kurmak
danîn holê	ortaya koymak
danok	ödenti
dansal	mevsim
dansal	sezon
dansal	sömestr
danû	kaynatılmış buğday
danûstandin	alışveriş
danûstandin	alaka
danûstandin	diyalog
danûstandin	ilişki
danûstandin	teati
danxav	çiğköfte
danzanîn	belirtmek
danzanîn	bildirmek
danzanîn	bilgisine sunmak
danzanîn	ilan etmek
danzanîn	tebliğ etmek
danzanînname	tebligatname
dapalandin	damıtmak
dapalandin	süzmek
dapalîn	damıtılmak
dapalîn	süzülmek
dapalînandin	damıtmak
dapalînandin	süzmek
dapalînandî	damıtılmış
dapalînandî	süzülmüş
dapalînîn	damıtılmak
daperîn	terslemek
dapêçîn	örtbas etmek
dapêjtin	budamak
dapîr	büyükanne
dapîr	nine
dapîrk	oyunda ebe
dapîtin	budamak
daqoq	kapı tokmağı
daqoq	tokmak
daqurtandin	yutmak
daqûrtandin	yutturma
dar	ağaç
dar	amir gibi)
dar	emreden
dar	fermandar (buyuran gibî)
dar	hükmeden anlamına gelir
dar	hükmeden anlamına gelir. \"fermandar\" (buyuran
dar	idam sehpası
dar	kalın değnek
dar	komutan
dar	meyve isimlerine göre ağaçları isimlendirir
dar	odun
dar	sonektir. veren
dar	sopa
dar	sözcüğe \"lı\"
dara	maliye
dara gaxendê	Noel ağacı
dara mêwîyan	meyve ağacı
daraş	kartal
darayî	mali
daraz	hüküm
daraz	yargı
daraz ajotin	hüküm sürmek
daraz danîn	hüküm kurmak
darazdar	karar mercii
darazdar	yargıç
darazkirî	hükümlü
darazkirî	mahkûm
darazname	ilam
darazxwarî	hükümlü
darazxwarî	mahkûm
darben	bıtım ağacı
darbend	darboğaz
darbend	inşaat iskelesi
darbenîşt	sakız ağacı
darberû	mazı ağacı
darbest	sedye
darbest	tabut
darbir	kunduz
darcixare	ağızlık
darçîn	tarçın
dardakirin	asmak
dardarok	pandül
dardarok	sarkaç
dardekirin	asmak
dardekirin	idam etmek
darê dinyayê	yeryüzü
darêj	döküm
darêjk	form
darêjnivîs	kompozisyon
darêjtin	türetmek
darêjtin	yaratmak
darêjxane	dökümhane
darijandin	mobilize etmek
daring	hammadde
daring	madde
daringî	maddi
daringperestî	maddecilik
daringperestî	materyalizm
daristan	orman
daristan	ormanlık
darizandin	hükmetmek
darizandin	hüküm vermek
darizandin	yargılama
darizandin	yargılamak
darizîn	hakkında hüküm verilmek
darizîn	yargılanmak
darîn	ahşap
darkutik	ağaçkakan
darmazî	mazı ağacı
daroxa	vergi memuru
darqesp	palmiye
darsêv	elma ağacı
darteraş	marangoz
dartewên	ağaç dallarına yetişmek için kullanılan uzun kanca
das	orak
dasî	arpa
dasî	buğday başağındaki uzantılar
dasî	kılçık
daskêş	orakçı
daşir	hela
daşir	tuvalet
davek	kayış
davetname	çağrı
davetname	davet
davetname	davetname
daw	etek
dawer	sembol
dawerivandin	durulmak
dawerivîn	durulanmak
dawerivok	imbik
dawerîvandin	durulamak
dawerîvandî	duru
dawestîn	ayakta durmak
daweşandin	silkelemek
daweşandin	silkmek
daweşîn	silkinmek
dawet	davet
dawet	düğün
dawetî	çağrı
dawetî	davet
dawetî	davetname
dawî	akıbet
dawî	final
dawî	nihayet
dawî	son
dawî	sonuç
dawî dan	son vermek
dawî hatin	sonu gelmek
dawî hatin	sonuçlanmak
dawîlêanîn	sonuçlandırmak
dawîlêhatin	bitmek
dawîlêhatin	sonuçlanmak
dawîn	nihai
dawîn	sonuncu
dawîyandin	sonuçla(ndır)mak
dawk	bahis için konan para
dawpiçûk	mini etek
dawudî	kasımpatı
dax	dağ
dax	keder
dax dan	dağlamak
daxbar	kederli
daxbar	üzgün
daxistin	indirgemek
daxistin	indirim
daxistin	indirmek
daxistin	iskonto
daxistin	tenzilât
daxkirin	dağlamak
daxuyanameya bêşê	vergi beyannamesi
daxuyandin	açıklamak
daxuyandin	belirtmek
daxuyanî	açıklama
daxuyanî	belirti
daxwarin	çekinmek
daxwarin	içine atmak
daxwarin	itaat etmek
daxwaz	arzu
daxwaz	dilek
daxwaz	istek
daxwaz	talep
daxwaz kirin	dilemek
daxwazî	istem
daxwazname	dilekçe
dayende	veren
dayende	verici
dayik	ana
dayik	anne
dayik	valide
dayin	ödemek
dayin	vermek
dayî	ak asma
dayî	ören gülü
dayîn	sütanne
dayîn	tevdi
dayîn	tevdî etmek
dayîn	vergi
dayîn	vermek
dayîna Xwadê	Allah vergisi
dayîtî	annelik
daykanî	anaerkil
daz	pense
deban	kılıcın demir bölümü
debar	geçim
debar	geçim. \"Debara xwe kirin.\" geçinmek
debar	maişet
debara malê	aile geçimi
debarî	nafaka
debax	sepi
debax	tabak
debax kirin	sepilemek
debaxî	sepicilik
debaxker	sepici
debdebe	debdebe
debdebe	görkem
debeng	ahmak
debeng	aptal
debeng	çakırkeyif
debeng	gerizekalı
debeng	hafif meşrep
debirandin	geçindirmek
debîş	ağda
debîş	yapışkan şeyler
def	davul
def	erbane
def kirin	defetmek
def kirin	savmak
defandin	itelemek
defandin	itmek
defne	defne
defter	defter
deftera bîreweriyê	hatıra defteri
defterdar	defterdar
degel	cesaret. \"bi degel\" cesaretli
degel	ihtiyatlı
degel	komik
degel bûn	ihtiyatlı olmak
degelî	ihtiyat
deh	on
dehandin	hazmetmek
dehandin	sindirim
dehbe	vahşi
dehbe	yaratık
dehemîn	onuncu
dehfdan	itmek
dehifandin	itelemek
dehifandin	itmek
dehî	adak
dehî	kurban
dehkî	ondalık kesir
dehlîz	dehliz
dejnik	tere otu
dek	entrika
dek	hile
dek û dolap	entrika
dek û dolap	hile
dekan	dekan
dekbaz	entrikacı
dekbaz	hileci
dekbaz	hilekâr
dekbaz	komplocu
dekor	dekor
delal	aziz
delal	sevgili
delav	su kenarı
delav	yalak
delew	kova burcu
delew	Ocak-19 Şubat
delewêre	dalavere
delfîn	yunus balığı
Delhî	Delhi (paytextê Hindê)
delîl	kanıt
delîve	fırsat
delîve	imkan
delûv	kova
dem	an
dem	çağ
dem	dem
dem	dönem
dem	esna
dem	kıvamına gelmek
dem	lahza
dem	müddet
dem	mühlet
dem	süre
dem	vakit
dem	zaman
dem borîn	zaman aşımı
dem girtin	demlenmek
dem kirin	demlemek
dema dahatû	gelecek zaman
dema pêşîn	ilk çağ
demagojî	demagoji
deman	icar
deman	kira
deman	zaman
deman kirin	kiralamak
demançe	tabanca
demandar	kiracı
demandêr	kiralayan
demankar	kiraya veren
demankirin	kiralamak
demarabor	geçmiş zaman
dembûhêrk	sohbet
demdemî	geçici
demdemî	kararsız
demdemî	muvakkat
demdemî	tutarsız
demdiyar	mühlet
demdiyar	vade
demek	bir süre
demet	demet
deminan	bir zaman(lar)
demingirtin	koşullanma
demî	geçici
demîn	geçici
demîn	süreli
demîn	vadeli
demjimêr	saat
demjmêr	saat
demjmêr çend e	saat kaç?
demjmêr pênc e	saat beş
demjmêra zendê	kol saati
demjmêrsaz	saat tamircisi
demkar	mesai saati
demokrasî	demokrasi
demsal	mevsim
demsal	sezon
demsal	sömestr
demsalî	mevsimlik
den	küp
dendik	çekirdek
deng	denk
deng	eşdeğer
deng	eşit
deng	muadil
deng	oy
deng	rey
deng	seda
deng	ses
deng dan	oy vermek
deng dan	ses vermek
deng derxistin	ses çıkarmak
deng kirin	seslenmek
deng lê kirin	seslenmek
deng vedan	akis
deng vedan	aksetmek
deng vedan	yankı
dengaz	konuşkan olmayan
dengbej	şarkıcı
dengbêj	masal anlatan halk ozanı
dengbêj	ses sanatçısı
dengbêj	şarkıcı
dengbêj	türkü söyleyen
dengbir	susturucu
dengdan	nam salmak
dengdan	oylama
dengdan	oylamak
dengdan	seslenmek
dengdar	dilbilgisinde sessiz harf
dengdar	sesli
dengdar	ünlü
dengdêr	dilbilgisinde sesli harf
dengdêr	sesli
dengdêr	ünlü
dengdêra dirêj	uzun sesli
dengdêra kurt	kısa sesli
dengegaz	ketum
dengik	kursak
dengkirin	konuşmak
dengkirin	seslenmek
denglêkirin	seslenmek
dengûbahs	ajans
dengûbahs	haber
dengûbas	ajans
dengûbas	haber
dengûbas	havadis
dengvedan	yankı
dengvedan	yankılanmak
dengweş	ahize
dengweş	mikrofon
Denîmark	Danimarka
Denîmarkî	Danimarkalı
denk	balya
dep	kereste
dep	tahta
dep	yassı tahta
depîn	ahşap
depîn	doğrama
depreş	kara tahta
depreş	karatahta
deq	benek
deq	büyük aşık kemiği
deq	dövme
deq	metin
deq	puan
deq	teks
deq	vücuda yapılan dövme
deqaq	ütü
deqel	sert toprak
deqkirin	dövme yapmak
deqlûs	takla atma
der	dış
der	dışarı
der	hariç
der	yer
der bar	hakkında
der bar	ilgili
der kirin	çıkartmak
der kirin	kovmak
derabe	kepenk
deramet	gelir
deramet	sebze
deramet	yeşillik
derandin	çıkarmak
derandin	ihracat
derandin	ihraç
derandin	ihraç etmek
deranîn	çıkarmak
deranîn	ihracat
deranîn	ihraç
deranîn	ihraç etmek
derasayî	olağanüstü
derav	çamaşır yıkama
derav	mecra
derav	su tevzi yeri
derawa	konum
derb	darb
derb	darbe
derb	vuruş
derb lêdan	darbe vurmak
derbar	hakkında
derbasbûn	aşmak
derbasbûn	geçmek
derbasdar	geçerli
derbasgeh	geçit
derbaskirin	aşırmak
derbaskirin	geçirtmek
derbaz be	geçmiş olsun!
derbaz bûn	aşma
derbaz bûn	geçme
derbaz bûn	intikal etme
derbaz kirin	aşırtmak
