Elijud (Eliud)	Eliudi	ant
Jezus	Yesu	ant
Chrystus	Kristo	cog
Betlejem	Bethlehemu	top
Abraham	Abrahamu	ant
Dawid	Daudi	ant
Izaak	Isaka	ant
Jakób (Jakub)	Yakobo	ant
Juda	Yuda	ant/top
Fares	Faresi	ant
Hesron	Hesroni	ant
Aminadab	Aminadabu	ant
Naason (Naasson)	Nashoni	ant
Jesse	Yese	ant
Salomon	Solomoni	ant
Uryjasz (Uriasz)	Uria	ant
